Ticket ID,Created Date,Solved Date,Ticket Status,Customer Org Name,Customer User Name,Org Region,Org ARR Bucket,Issue Priority,Issue Severity,Assigned Agent,Assigned Agent Region,Product Area,Resolution Time (days),CSAT Score,CSAT Comment,CSAT Response Date
1000,2025-07-01 01:53,2025-07-05 00:12,Solved,IronGate,User 382,APAC,Tier 0,Low,Sev 4,Agent Chen,San Francisco,Integrations,3.93,,,
1001,2025-07-01 06:10,2025-07-04 11:41,Solved,BrightTech,User 316,EMEA,Tier 3,Medium,Sev 2,Agent Lee,Sydney,AI Automation,3.23,,,
1002,2025-07-01 08:34,2025-07-02 01:36,Solved,Vertex Labs,User 599,EMEA,Tier 2,High,Sev 1,Agent Khan,San Francisco,Authentication,0.71,,,
1003,2025-07-01 10:49,2025-07-02 04:34,Solved,Nimbus Systems,User 565,APAC,Tier 3,Low,Sev 0,Agent Lee,San Francisco,Reporting,0.74,,,
1004,2025-07-01 12:43,2025-07-03 17:16,Solved,Vertex Labs,User 287,EMEA,Tier 1,High,Sev 4,Agent Gomez,London,AI Automation,2.19,,,
1005,2025-07-01 13:12,2025-07-06 12:43,Solved,Vertex Labs,User 163,EMEA,Tier 0,Low,Sev 2,Agent Chen,San Francisco,Billing,4.98,,,
1006,2025-07-01 15:56,2025-07-04 20:00,Solved,Nimbus Systems,User 251,APAC,Tier 3,Medium,Sev 3,Agent Lee,San Francisco,Compliance,3.17,,,
1007,2025-07-01 16:30,2025-07-01 18:54,Solved,Northwind,User 349,APAC,Tier 1,Medium,Sev 0,Agent Smith,New York,Authentication,0.1,,,
1008,2025-07-01 18:04,2025-07-01 22:08,Solved,IronGate,User 519,EMEA,Tier 3,Medium,Sev 3,Agent Lee,Sydney,Authentication,0.17,,,
1009,2025-07-01 21:24,2025-07-06 03:38,Solved,BluePeak,User 430,EMEA,Tier 0,High,Sev 2,Agent Lee,San Francisco,Compliance,4.26,,,
1010,2025-07-02 02:12,2025-07-06 03:09,Solved,BluePeak,User 491,North America,Tier 2,Medium,Sev 0,Agent Gomez,New York,Reporting,4.04,,,
1011,2025-07-02 07:56,2025-07-05 05:03,Solved,Northwind,User 132,APAC,Tier 3,Low,Sev 1,Agent Chen,Sydney,Authentication,2.88,5.0,,2025-07-18
1012,2025-07-02 09:26,2025-07-03 08:57,Solved,IronGate,User 460,EMEA,Tier 3,High,Sev 4,Agent Patel,London,Integrations,0.98,5.0,,2025-07-10
1013,2025-07-02 12:03,2025-07-05 09:24,Solved,BrightTech,User 396,APAC,Tier 3,Low,Sev 2,Agent Lee,New York,Integrations,2.89,,,
1014,2025-07-02 12:36,2025-07-05 07:33,Solved,Acme Corp,User 438,North America,Tier 2,Low,Sev 4,Agent Khan,New York,Integrations,2.79,,,
1015,2025-07-02 13:42,2025-07-07 09:22,Solved,SummitWorks,User 949,EMEA,Tier 2,Medium,Sev 3,Agent Chen,New York,Integrations,4.82,,,
1016,2025-07-02 15:33,2025-07-04 11:57,Solved,Northwind,User 103,North America,Tier 1,Medium,Sev 4,Agent Smith,New York,Authentication,1.85,,,
1017,2025-07-02 19:47,2025-07-03 09:56,Solved,Vertex Labs,User 677,North America,Tier 1,High,Sev 1,Agent Lee,New York,Integrations,0.59,,,
1018,2025-07-02 21:19,2025-07-04 06:11,Solved,IronGate,User 876,EMEA,Tier 1,High,Sev 3,Agent Lee,New York,Integrations,1.37,,,
1019,2025-07-03 04:37,2025-07-04 09:39,Hold,SummitWorks,User 837,North America,Tier 3,Low,Sev 1,Agent Khan,San Francisco,Compliance,1.21,,,
1020,2025-07-03 05:27,2025-07-05 12:39,Solved,Acme Corp,User 92,EMEA,Tier 0,Low,Sev 4,Agent Davis,Berlin,Integrations,2.3,,,
